Order,Design No,Design,Curve01,Curve02,Curve03,Curve04,Curve05,Curve06,Curve07,Curve08,Curve09,Curve10,File01,File02,File03,File04,File05,File06,File07,File08,File09,File10
1,A0126  ,APPLICATOR                    ,Missing, , , , , , , , , ,Missing, , , , , , , , , ,
78,C3824  ,EXECUTION II                  ,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , ,
79,9889,DONALD,CSS13,CSS13,CSS13,CSS13,CSS13,CSS13, , , , ,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt, , , , ,
80,C4336,TOONE,NC,NC,NC,NC,NC,NC, , , , ,Missing,Missing,Missing,Missing,Missing,Missing, , , , ,
81,C2854,BOUGAINVILLAEA BORDER II,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8, , , , ,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt, , , , ,
82,12707  ,FIJI DOUBLE BORDER II         ,CSS13,CSS13,CSS13,CSS13,CSS13, , , , , ,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt, , , , , ,
83,16810  ,VS CLASSIC ICONIC SLEEP VPD   ,EQ1, , , , , , , , , ,eQ1.txt, , , , , , , , , ,
84,C6107  ,CLAYTON STRIPE II             ,TP-NEW,TP-NEW,TP-NEW,TTP,TTP,TTP,TP-NEW,TTP, , ,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing, , ,
85,9453   ,ELILA BORDER                  ,CSS13,CSS13,CSS13,CSS13, , , , , , ,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt, , , , , , ,
86,X9979  ,NEW AMERICA                   ,AVA8,AVA8, , , , , , , , ,AVA8.txt,AVA8.txt, , , , , , , , ,
87,16414  ,JUDY'S JOY DOUBLE BORDER      ,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , ,
88,11248  ,DEZIAH                        ,DEC59/5,DEC59/5,DEC59/5,DEC59/5,DEC59/5,DEC59/5, , , , ,Decorflair 59-5.txt,Decorflair 59-5.txt,Decorflair 59-5.txt,Decorflair 59-5.txt,Decorflair 59-5.txt,Decorflair 59-5.txt, , , , ,
89,16330  ,HENDRICKS                     ,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , ,
90,11481  ,RASIO ROSES                   ,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8, , , ,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt, , , ,
91,8233   ,BRUNO                         ,FAS15,FAS15,FAS15, , , , , , , ,Fashion15.txt,Fashion15.txt,Fashion15.txt, , , , , , , ,
92,14915  ,RINALDO II                    ,EQ1,EQ1,EQ1,EQ1,EQ1, , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , ,
93,D2     ,AIRDYE SINGLE                 ,Missing, , , , , , , , , ,Missing, , , , , , , , , ,
94,14241  ,LIMESTONE WALK                ,AVA10,AVA10,AVA10,AVA10,AVA10,AVA10, , , , ,AVA10.txt,AVA10.txt,AVA10.txt,AVA10.txt,AVA10.txt,AVA10.txt, , , , ,
95,16797,HEMMED,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , ,
96,17128,ITALY POSITIVE,EQ1, , , , , , , , , ,eQ1.txt, , , , , , , , , ,
97,14432  ,PAISLEY PUZZLE II             ,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8, , , , ,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt, , , , ,
98,14875  ,ISLA                          ,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , ,
99,12380,HICMAN,AVA8,AVA8,AVA8, , , , , , , ,AVA8.txt,AVA8.txt,AVA8.txt, , , , , , , ,
100,16713  ,SEA STORM                     ,EQ1,EQ1,EQ1,EQ1,EQ1, , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , ,
101,A4662  ,SIGMUND PLAID                 ,Missing, , , , , , , , , ,Missing, , , , , , , , , ,
102,A6387  ,AVENUE DOT NEGATIVE II        ,FAS14, , , , , , , , , ,Missing, , , , , , , , , ,
103,8649   ,SIMPLE STRIPE II              ,CSS13,CSS13,CSS13,CSS13, , , , , , ,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt, , , , , , ,
104,14708,PACIFIC COAST DOUBLE BORDER,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , ,
